country,revision_cause,deficit_2003,deficit_2004,deficit_2005,deficit_2006,debt_2003,debt_2004,debt_2005,debt_2006
Belgium,Revision in deficit/surplus and debt ratios,-0.1,0.0,0.0,0.2,0.0,-0.1,-1.0,-0.9
Belgium,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
Belgium,- due to revision of GDP,-0.1,0.0,0.0,0.0,0.0,-0.1,-1.0,-1.0
Bulgaria,Revision in deficit/surplus and debt ratios,0.9,0.1,0.1,-0.1,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.9,0.1,0.1,-0.1,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,0.0,0.0,-0.3,-0.2,-0.3
Czech,- due to revision of deficit/surplus or debt,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
Czech,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.3,-0.2,-0.3
Denmark,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.1,0.4,0.0,0.0,0.0,0.1
Denmark,- due to revision of deficit/surplus or debt,0.0,-0.1,0.0,0.4,0.0,0.0,0.0,0.2
Denmark,- due to revision of GDP,-0.1,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1
Germany,Revision in deficit/surplus and debt ratios,0.0,-0.1,-0.2,0.1,-0.1,-0.1,-0.1,-0.4
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.1
Germany,- due to revision of GDP,0.0,-0.1,-0.1,0.0,-0.1,-0.1,-0.1,-0.5
Estonia,Revision in deficit/surplus and debt ratios,-0.2,-0.5,-0.4,-0.2,-0.2,-0.1,0.0,-0.1
Estonia,- due to revision of deficit/surplus or debt,-0.2,-0.5,-0.4,-0.2,0.0,0.0,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.2,-0.1,0.0,-0.1
Ireland,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.2,0.0,-0.1,-0.2,0.0,0.2
Ireland,- due to revision of deficit/surplus or debt,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Ireland,- due to revision of GDP,0.0,-0.1,0.0,0.0,-0.1,-0.2,0.0,0.2
Greece,Revision in deficit/surplus and debt ratios,0.6,0.6,0.4,0.1,-9.9,-9.9,-9.5,-9.3
Greece,- due to revision of deficit/surplus or debt,0.0,-0.1,-0.1,-0.1,0.0,0.0,0.0,-0.1
Greece,- due to revision of GDP,0.6,0.7,0.5,0.2,-9.9,-9.9,-9.5,-9.2
Spain,Revision in deficit/surplus and debt ratios,-0.2,-0.1,-0.1,0.0,-0.1,0.0,-0.2,-0.2
Spain,- due to revision of deficit/surplus or debt,-0.2,-0.2,-0.1,0.0,0.0,0.0,0.0,0.0
Spain,- due to revision of GDP,0.0,0.1,0.0,0.0,-0.1,0.0,-0.2,-0.2
France,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,0.5,0.6,0.5,0.3
France,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.6,0.5,0.5,0.5
France,- due to revision of GDP,0.0,0.0,0.1,0.0,-0.1,0.1,0.0,-0.2
Italy,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,Revision in deficit/surplus and debt ratios,-0.2,0.0,-0.1,0.3,-0.2,-0.1,-0.1,-0.1
Cyprus,- due to revision of deficit/surplus or debt,-0.2,0.0,-0.1,0.3,0.0,0.0,0.0,0.1
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.2,-0.1,-0.1,-0.2
Latvia,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.2,-0.7,0.0,0.0,0.5,0.6
Latvia,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,-0.7,0.0,0.0,0.5,0.6
Latvia,- due to revision of GDP,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
Lithuania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,Revision in deficit/surplus and debt ratios,0.1,0.0,0.2,0.6,0.0,-0.2,0.1,-0.2
Luxembourg,- due to revision of deficit/surplus or debt,0.1,0.0,0.2,0.6,0.0,0.0,0.2,0.0
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1,-0.2
Hungary,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.4
Hungary,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1
Hungary,- due to revision of GDP,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.5
Malta,Revision in deficit/surplus and debt ratios,0.1,0.1,0.0,0.1,-1.1,-1.2,-1.6,-1.8
Malta,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1
Malta,- due to revision of GDP,0.1,0.1,0.0,0.2,-1.1,-1.2,-1.6,-1.9
Netherlands,Revision in deficit/surplus and debt ratios,0.0,0.1,0.0,0.0,0.0,-0.2,-0.4,-0.8
Netherlands,- due to revision of deficit/surplus or debt,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.2
Netherlands,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.2,-0.4,-0.6
Austria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.3,0.0,-0.1,-0.1,-0.5
Austria,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,-0.2
Austria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.3
Poland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.2
Poland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Poland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
Portugal,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,0.0,0.1,0.1,0.1,0.1
Portugal,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.1,0.1,0.0
Portugal,- due to revision of GDP,0.0,-0.1,0.1,0.0,0.1,0.0,0.0,0.1
Romania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,Revision in deficit/surplus and debt ratios,0.1,0.0,0.0,0.2,-0.7,-1.3,-1.0,-0.7
Slovenia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.2,-0.2,-0.8,-0.3,-0.1
Slovenia,- due to revision of GDP,0.1,0.0,0.0,0.0,-0.5,-0.5,-0.7,-0.6
Slovakia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.3,0.0,-0.1,-0.3,-0.3
Slovakia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.1
Slovakia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.1,-0.3,-0.4
Finland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1
Finland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.1
Finland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Sweden,Revision in deficit/surplus and debt ratios,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1
Sweden,- due to revision of deficit/surplus or debt,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0
Sweden,- due to revision of GDP,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
United Kingdom,Revision in deficit/surplus and debt ratios,-0.1,-0.3,-0.2,0.1,-0.1,0.1,-0.1,-0.3
United Kingdom,- due to revision of deficit/surplus or debt,-0.2,-0.2,-0.3,0.1,0.2,0.4,0.2,0.1
United Kingdom,- due to revision of GDP,0.1,-0.1,0.1,0.0,-0.3,-0.3,-0.3,-0.4
