country,revision_cause,deficit_2009,deficit_2010,deficit_2011,deficit_2012,debt_2009,debt_2010,debt_2011,debt_2012
Belgium,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2
Belgium,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3
Bulgaria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,0.0,0.4,0.5,0.6,0.4
Czech Republic,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,0.0,0.4,0.5,0.4,0.4
Czech Republic,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.4
Denmark,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.2
Denmark,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
Germany,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,-0.1,0.1,0.1,-0.5,-0.9
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,-0.1,0.0,0.0,0.1,-0.2
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.7
Estonia,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,-0.1,0.0,-0.2,-0.3
Estonia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
