country,revision_cause,deficit_2007,deficit_2008,deficit_2009,deficit_2010,debt_2007,debt_2008,debt_2009,debt_2010
Belgium,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,-0.1,-0.3,-0.4,-0.6
Belgium,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.1
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.1,-0.3,-0.3,-0.6
Bulgaria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech,Revision in deficit/surplus and debt ratios,-0.1,0.5,0.0,-0.1,-1.0,-1.3,-0.9,-1.0
Czech,- due to revision of deficit/surplus or debt,-0.1,0.4,-0.2,-0.3,0.0,0.0,0.2,0.1
Czech,- due to revision of GDP,0.0,0.1,0.2,0.1,-1.0,-1.2,-1.1,-1.1
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
Denmark,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
Denmark,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Germany,Revision in deficit/surplus and debt ratios,0.0,-0.2,-0.2,-1.0,0.3,0.4,1.0,0.0
Germany,- due to revision of deficit/surplus or debt,0.0,-0.2,-0.1,-1.0,0.2,0.2,0.3,-0.7
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.7
Estonia,Revision in deficit/surplus and debt ratios,-0.2,-0.1,-0.3,0.1,-0.1,-0.1,0.0,0.1
Estonia,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.3,0.1,0.0,0.0,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.1
Ireland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,1.1,-0.1,0.0,-0.4,-1.3
Ireland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.7,0.0,0.0,0.0,-0.1
Ireland,- due to revision of GDP,0.0,0.0,0.1,0.4,-0.1,0.0,-0.4,-1.3
Greece,Revision in deficit/surplus and debt ratios,-0.1,0.0,-0.4,-0.1,2.0,2.2,2.2,2.1
Greece,- due to revision of deficit/surplus or debt,0.0,0.1,-0.1,0.0,0.0,0.3,0.4,0.3
Greece,- due to revision of GDP,-0.1,-0.2,-0.2,-0.1,2.0,1.9,1.9,1.8
Spain,Revision in deficit/surplus and debt ratios,0.0,-0.3,0.0,-0.1,0.1,0.2,0.6,0.9
Spain,- due to revision of deficit/surplus or debt,0.0,-0.3,0.0,0.0,0.1,0.2,0.2,0.3
Spain,- due to revision of GDP,0.0,0.0,-0.1,-0.1,0.0,0.0,0.3,0.6
France,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,-0.1,0.3,0.5,0.7,0.6
France,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,- due to revision of GDP,0.0,0.0,-0.1,-0.1,0.3,0.5,0.7,0.6
Italy,Revision in deficit/surplus and debt ratios,-0.1,0.0,-0.1,0.0,-0.5,-0.5,-0.6,-0.6
Italy,- due to revision of deficit/surplus or debt,-0.1,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
Italy,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.6
Cyprus,Revision in deficit/surplus and debt ratios,0.1,0.0,-0.1,0.0,0.5,0.6,0.5,0.7
Cyprus,- due to revision of deficit/surplus or debt,0.1,0.0,-0.1,0.0,0.3,0.2,0.2,0.2
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.5
Latvia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.6,0.0,0.1,0.0,0.0
Latvia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0
Latvia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.2
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.2
Luxembourg,Revision in deficit/surplus and debt ratios,0.0,0.1,0.0,0.6,0.0,0.1,0.2,0.6
Luxembourg,- due to revision of deficit/surplus or debt,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,-0.1,0.0,0.1,0.3,0.6
Hungary,Revision in deficit/surplus and debt ratios,-0.1,0.0,0.0,0.0,0.9,0.6,1.3,1.1
Hungary,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,- due to revision of GDP,-0.1,0.0,-0.1,-0.1,0.9,0.6,1.3,1.1
Malta,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,0.0,0.1,0.7,0.2,0.9
Malta,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Malta,- due to revision of GDP,0.0,0.0,0.0,0.0,0.1,0.7,0.2,0.9
Netherlands,Revision in deficit/surplus and debt ratios,0.0,-0.1,-0.1,0.3,0.0,0.2,0.0,0.1
Netherlands,- due to revision of deficit/surplus or debt,0.0,-0.1,-0.1,0.3,0.0,0.1,-0.1,-0.2
Netherlands,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3
Austria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.2,-0.4,0.1,-0.1,-0.4
Austria,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
Austria,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.4,0.1,-0.1,-0.6
Poland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Poland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Poland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,-0.6,0.0,0.0,0.0,0.3
Portugal,- due to revision of deficit/surplus or debt,0.0,-0.1,0.0,-0.6,0.0,0.0,0.0,0.5
Portugal,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
Romania,Revision in deficit/surplus and debt ratios,-0.3,0.1,-0.5,-0.5,0.2,0.0,0.1,0.3
Romania,- due to revision of deficit/surplus or debt,-0.3,0.1,-0.5,-0.5,0.2,0.0,0.2,0.3
Romania,- due to revision of GDP,0.0,0.0,0.1,0.0,0.0,0.0,-0.1,0.0
Slovenia,Revision in deficit/surplus and debt ratios,0.0,-0.1,-0.1,-0.2,0.0,0.0,0.1,0.8
Slovenia,- due to revision of deficit/surplus or debt,0.0,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.1
Slovenia,- due to revision of GDP,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.7
Slovakia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0
Slovakia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Slovakia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
Finland,Revision in deficit/surplus and debt ratios,0.1,0.1,0.2,-0.1,0.0,-0.2,-0.5,-0.1
Finland,- due to revision of deficit/surplus or debt,0.1,0.1,0.1,-0.1,0.0,0.0,0.0,-0.1
Finland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.2,-0.5,0.0
Sweden,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-0.1
Sweden,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Sweden,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
United Kingdom,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.1,0.0,0.4,0.1,-0.1
United Kingdom,- due to revision of deficit/surplus or debt,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,0.2
United Kingdom,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.4,0.1,-0.3
