country,revision_cause,deficit_2011,deficit_2012,deficit_2013,debt_2011,debt_2012,debt_2013
Belgium,Revision in deficit/surplus and debt ratios,-0.2,0.0,0.0,-0.1,-0.1,-0.1
Belgium,- due to revision of deficit/surplus or debt,-0.2,0.0,0.0,-0.1,-0.1,-0.1
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.4,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.0,-0.1,0.4,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Czech,Revision in deficit/surplus and debt ratios,0.2,0.1,0.1,-1.1,-0.9,-0.7
Czech,- due to revision of deficit/surplus or debt,0.2,0.1,0.1,-1.1,-0.9,-0.7
Czech,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.3,-0.3,0.0,-0.1,0.0
Denmark,- due to revision of deficit/surplus or debt,0.0,0.2,-0.3,0.0,0.0,-0.1
Denmark,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.1,0.1
Germany,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.2,0.2,0.2
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.2,0.2,0.2
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,Revision in deficit/surplus and debt ratios,0.1,0.1,0.3,0.0,0.0,0.0
Estonia,- due to revision of deficit/surplus or debt,0.1,0.1,0.3,0.0,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.1,0.0,0.0,-0.1
Ireland,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.1,0.0,0.0,-0.1
Ireland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Greece,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.1,0.0,0.0,0.0
Greece,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.1,0.0,0.0,0.0
Greece,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Spain,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Spain,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
France,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.2,0.3,0.1
France,- due to revision of deficit/surplus or debt,0.0,0.1,0.0,0.2,0.2,0.2
France,- due to revision of GDP,0.0,0.0,0.0,0.0,0.2,-0.1
Croatia,Revision in deficit/surplus and debt ratios,0.1,0.3,-0.1,3.8,4.8,4.9
Croatia,- due to revision of deficit/surplus or debt,0.1,0.3,-0.1,3.8,4.8,4.9
Croatia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.9,0.7
Italy,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,-0.1,-0.1
Italy,- due to revision of GDP,0.0,0.0,0.0,0.0,1.0,0.8
Cyprus,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,Revision in deficit/surplus and debt ratios,0.1,0.0,0.1,0.0,0.0,0.0
Latvia,- due to revision of deficit/surplus or debt,0.1,0.0,0.1,0.0,0.0,0.0
Latvia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.1,-0.1,-0.2
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,-0.1,-0.2
Lithuania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,Revision in deficit/surplus and debt ratios,0.1,0.1,0.2,0.6,0.5,0.5
Luxembourg,- due to revision of deficit/surplus or debt,0.1,0.1,0.2,0.6,0.5,0.5
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Malta,Revision in deficit/surplus and debt ratios,0.1,0.0,0.1,-0.1,-0.4,-0.6
Malta,- due to revision of deficit/surplus or debt,0.1,0.0,0.1,0.0,0.0,0.0
Malta,- due to revision of GDP,0.0,0.0,0.0,-0.1,-0.4,-0.6
Netherlands,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Revision in deficit/surplus and debt ratios,0.1,0.1,0.2,0.0,-0.2,-0.3
Austria,- due to revision of deficit/surplus or debt,0.1,0.1,0.2,0.0,-0.2,-0.3
Austria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Poland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Poland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Poland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,0.0,0.9,1.6
Portugal,- due to revision of deficit/surplus or debt,0.0,-0.1,0.1,0.0,0.0,0.2
Portugal,- due to revision of GDP,0.0,0.0,-0.1,0.0,0.9,1.4
Romania,Revision in deficit/surplus and debt ratios,0.1,0.0,0.0,0.0,0.0,0.1
Romania,- due to revision of deficit/surplus or debt,0.1,0.0,0.1,0.0,0.0,0.0
Romania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1
Slovenia,Revision in deficit/surplus and debt ratios,-0.4,-0.3,-0.3,0.3,0.3,0.0
Slovenia,- due to revision of deficit/surplus or debt,-0.4,-0.3,-0.3,0.3,0.3,0.0
