country,revision_cause,deficit_2004,deficit_2005,deficit_2006,debt_2004,debt_2005,debt_2006
Belgium,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,-0.1,0.0
Belgium,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,- due to revision of GDP,0.0,0.0,-0.1,0.0,-0.1,0.0
Bulgaria,Revision in deficit/surplus and debt ratios,-0.9,-0.2,-0.2,0.0,0.0,-0.1
Bulgaria,- due to revision of deficit/surplus or debt,-0.8,-0.2,-0.2,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,-0.1,0.0,0.0,0.0,0.0,-0.1
Czech,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.2,0.0,-0.5,-0.7
Czech,- due to revision of deficit/surplus or debt,0.0,0.0,0.3,0.0,-0.5,-0.7
Czech,- due to revision of GDP,0.0,-0.1,-0.1,0.0,0.0,0.0
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.4,0.2,-0.2,0.1,0.1
Denmark,- due to revision of deficit/surplus or debt,0.0,0.4,0.2,0.0,0.0,0.1
Denmark,- due to revision of GDP,0.0,0.0,0.0,-0.2,0.1,0.0
Germany,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.1
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1
Estonia,Revision in deficit/surplus and debt ratios,-0.2,-0.1,-0.2,0.0,0.1,0.2
Estonia,- due to revision of deficit/surplus or debt,-0.2,-0.2,-0.2,0.1,0.1,0.2
Estonia,- due to revision of GDP,0.0,0.1,0.0,-0.1,0.0,0.0
Ireland,Revision in deficit/surplus and debt ratios,0.1,0.4,0.1,0.0,0.0,0.0
Ireland,- due to revision of deficit/surplus or debt,0.0,0.4,0.1,0.0,0.0,0.0
Ireland,- due to revision of GDP,0.1,0.0,0.0,0.0,0.0,0.0
Greece,Revision in deficit/surplus and debt ratios,-0.1,0.0,-0.1,0.0,0.0,0.0
Greece,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.1,0.0,0.0,0.0
Greece,- due to revision of GDP,0.0,0.1,0.0,0.0,0.0,0.0
Spain,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Spain,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Spain,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
France,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,-0.3,-0.6
France,- due to revision of deficit/surplus or debt,0.0,0.0,0.2,0.0,0.0,0.0
France,- due to revision of GDP,0.0,0.0,-0.1,0.0,-0.3,-0.6
Italy,Revision in deficit/surplus and debt ratios,0.0,0.0,1.0,0.0,-0.4,-0.3
Italy,- due to revision of deficit/surplus or debt,0.0,-0.1,1.1,0.1,0.0,0.0
Italy,- due to revision of GDP,0.0,0.1,-0.1,-0.1,-0.4,-0.3
Cyprus,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,-0.4
Cyprus,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.4
Latvia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.4,-0.1,0.1
Latvia,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.4,-0.1,0.0
Latvia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,0.0,0.0
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.0,0.0,0.0
Lithuania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,Revision in deficit/surplus and debt ratios,0.0,0.0,0.6,-0.1,-0.1,0.0
Luxembourg,- due to revision of deficit/surplus or debt,0.0,0.0,0.6,-0.1,-0.1,-0.1
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1
