country,revision_cause,deficit_2008,deficit_2009,deficit_2010,deficit_2011,debt_2008,debt_2009,debt_2010,debt_2011
Belgium,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.5,-0.3
Belgium,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.5,-0.2
Bulgaria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.2,0.0,-0.2,-0.2,-0.3
Czech Republic,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0
Czech Republic,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.3
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Denmark,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Germany,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,0.2,0.1,0.1,-0.6,-0.7
Germany,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.7
Estonia,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.1
Estonia,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.1
