country,revision_cause,deficit_2010,deficit_2011,deficit_2012,deficit_2013,debt_2010,debt_2011,debt_2012,debt_2013
Belgium,Revision in deficit/surplus and debt ratios,-0.1,-0.1,0.0,-0.3,2.9,3.0,2.8,3.0
Belgium,- due to revision of deficit/surplus or debt,-0.3,-0.2,-0.2,-0.4,5.6,5.8,6.1,6.6
Belgium,- due to revision of GDP,0.1,0.1,0.1,0.1,-2.6,-2.8,-3.2,-3.6
Bulgaria,Revision in deficit/surplus and debt ratios,-0.1,0.0,0.3,0.3,-0.3,-0.7,-0.5,-0.5
Bulgaria,- due to revision of deficit/surplus or debt,-0.2,-0.1,0.2,0.2,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.1,0.1,0.0,0.0,-0.3,-0.7,-0.5,-0.5
Czech Republic,Revision in deficit/surplus and debt ratios,0.3,0.3,0.2,0.2,-0.2,-0.4,-0.7,-0.3
Czech Republic,- due to revision of deficit/surplus or debt,0.1,0.2,0.0,0.1,1.4,1.6,1.7,2.0
Czech Republic,- due to revision of GDP,0.2,0.2,0.2,0.1,-1.6,-2.0,-2.3,-2.3
Denmark,Revision in deficit/surplus and debt ratios,-0.2,-0.2,-0.1,0.1,0.1,0.0,0.3,0.5
Denmark,- due to revision of deficit/surplus or debt,-0.3,-0.3,-0.2,0.1,1.0,1.1,1.2,1.3
Denmark,- due to revision of GDP,0.1,0.0,0.1,0.0,-0.9,-1.0,-0.9,-0.8
Germany,Revision in deficit/surplus and debt ratios,0.1,0.0,0.0,0.1,-2.3,-2.4,-2.0,-1.6
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.3,0.3,0.5,0.4
Germany,- due to revision of GDP,0.1,0.0,0.0,0.0,-2.6,-2.6,-2.5,-2.0
Estonia,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,-0.3,-0.1,-0.1,-0.1,0.1
Estonia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.2
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.2,-0.1,-0.1,-0.2
Ireland,Revision in deficit/surplus and debt ratios,-1.8,0.5,0.2,1.5,-3.8,7.1,4.3,-0.4
Ireland,- due to revision of deficit/surplus or debt,-3.1,-0.1,-0.3,1.0,0.0,12.2,10.3,7.2
Ireland,- due to revision of GDP,1.3,0.6,0.4,0.4,-3.8,-5.1,-6.0,-7.6
Greece,Revision in deficit/surplus and debt ratios,-0.2,-0.5,0.3,0.5,-2.3,1.0,-0.3,-0.1
Greece,- due to revision of deficit/surplus or debt,-0.4,-0.5,0.3,0.5,0.3,0.4,0.4,0.2
Greece,- due to revision of GDP,0.2,0.0,0.0,0.0,-2.7,0.6,-0.7,-0.4
Spain,Revision in deficit/surplus and debt ratios,0.2,0.1,0.3,0.3,-1.6,-1.3,-1.5,-1.8
Spain,- due to revision of deficit/surplus or debt,-0.1,-0.1,0.1,0.1,0.4,0.6,0.6,0.5
Spain,- due to revision of GDP,0.3,0.3,0.3,0.2,-2.0,-1.9,-2.1,-2.3
France,Revision in deficit/surplus and debt ratios,0.2,0.1,0.0,0.1,-1.3,-1.2,-1.4,-1.2
France,- due to revision of deficit/surplus or debt,0.0,-0.1,-0.1,0.0,1.3,1.2,1.2,1.1
France,- due to revision of GDP,0.2,0.1,0.1,0.1,-2.6,-2.4,-2.5,-2.4
Croatia,Revision in deficit/surplus and debt ratios,0.3,0.2,-0.7,-0.3,7.8,8.0,8.5,8.6
Croatia,- due to revision of deficit/surplus or debt,0.2,0.1,-0.7,-0.3,8.3,8.6,8.9,9.0
Croatia,- due to revision of GDP,0.1,0.1,0.0,0.0,-0.6,-0.6,-0.3,-0.4
Italy,Revision in deficit/surplus and debt ratios,0.3,0.3,0.0,0.2,-4.0,-4.3,-4.7,-4.8
Italy,- due to revision of deficit/surplus or debt,0.1,0.1,-0.1,0.1,0.0,0.0,0.0,0.0
Italy,- due to revision of GDP,0.2,0.1,0.1,0.1,-4.0,-4.3,-4.8,-4.8
Cyprus,Revision in deficit/surplus and debt ratios,0.5,0.6,0.6,0.5,-4.8,-5.4,-7.1,-9.5
