country,revision_cause,deficit_2008,deficit_2009,deficit_2010,debt_2008,debt_2009,debt_2010
Belgium,Revision in deficit/surplus and debt ratios,0.3,0.2,0.3,0.0,0.0,-0.1
Belgium,- due to revision of deficit/surplus or debt,0.3,0.2,0.3,0.0,0.0,-0.1
Belgium,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Czech,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.5
Czech,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.5
Czech,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,-1.1,-1.2,-0.8
Denmark,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.9,-0.9,-0.5
Denmark,- due to revision of GDP,0.0,0.0,0.0,-0.2,-0.3,-0.3
Germany,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,-0.2
Germany,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,-0.2
Germany,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,Revision in deficit/surplus and debt ratios,0.0,0.2,0.1,0.0,0.0,0.0
Ireland,- due to revision of deficit/surplus or debt,0.0,0.2,0.1,0.0,0.0,0.0
Ireland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Greece,Revision in deficit/surplus and debt ratios,0.0,0.2,0.3,0.1,0.1,0.1
Greece,- due to revision of deficit/surplus or debt,0.0,0.2,0.3,0.1,0.1,0.1
Greece,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.1,0.1
Spain,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.1,0.1
Spain,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
France,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.2,0.0
France,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.2
France,- due to revision of GDP,0.0,0.0,0.0,0.0,0.1,-0.2
Italy,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.1,0.5,0.2
Italy,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,-0.1,-0.1
Italy,- due to revision of GDP,0.0,0.0,0.0,0.0,0.5,0.2
Cyprus,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.2,0.0,0.0,0.0
Latvia,- due to revision of deficit/surplus or debt,0.0,-0.1,0.2,0.0,0.0,0.0
Latvia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.1,-0.2,0.0,0.0,0.0
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.1,-0.2,0.0,0.0,0.0
Lithuania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,Revision in deficit/surplus and debt ratios,0.0,0.1,0.2,0.0,0.0,0.0
Luxembourg,- due to revision of deficit/surplus or debt,0.0,0.1,0.2,0.0,0.0,0.0
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.1,0.1,0.1
Hungary,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.1,0.1
Hungary,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Malta,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.1,0.2,0.5
Malta,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.0
Malta,- due to revision of GDP,0.0,0.0,0.0,0.1,0.2,0.5
Netherlands,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.0,0.1
Austria,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,0.1
Austria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Poland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Poland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Poland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.0,0.0,0.0
Portugal,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.0,0.0,-0.1
Portugal,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1
Romania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,0.0,-0.5
Romania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Romania,- due to revision of GDP,0.0,0.0,0.1,0.0,0.0,-0.5
Slovenia,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.2,0.0,0.0,0.0
Slovenia,- due to revision of deficit/surplus or debt,0.0,0.0,-0.2,0.0,0.0,0.0
Slovenia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.1,0.1
Slovakia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.1,0.1
Finland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.2,0.1
Finland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Finland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.2,0.1
Sweden,Revision in deficit/surplus and debt ratios,-0.1,-0.1,0.0,0.0,-0.2,-0.3
Sweden,- due to revision of deficit/surplus or debt,-0.1,-0.1,0.0,0.0,0.0,0.0
Sweden,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.2,-0.3
United Kingdom,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,0.0,-0.3
United Kingdom,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.0,0.0,0.0
United Kingdom,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.3
